"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/html/canvas/offscreen/path-objects/2d.path.stroke.prune.line.worker.html",1,0,0,1841322
"/html/canvas/offscreen/path-objects/2d.path.stroke.prune.line.html",1,0,0,1841322
"/webgl/idlharness.any.worker.html",35,31,33,""
"/html/canvas/offscreen/text/2d.text.drawing.style.letterSpacing.change.font.html",1,0,1,1832955
"/html/canvas/offscreen/path-objects/2d.path.stroke.prune.arc.html",1,0,0,1841322
"/html/canvas/offscreen/manual/the-offscreen-canvas/offscreencanvas.transferrable.html",1,0,0,1645555
"/html/canvas/offscreen/text/2d.text.drawing.style.wordSpacing.change.font.worker.html",1,0,1,1832955
"/html/canvas/offscreen/text/2d.text.measure.emHeights.html",1,0,1,1841692
"/html/canvas/offscreen/text/2d.text.drawing.style.fontVariant.settings.worker.html",1,1,1,""
"/html/canvas/offscreen/fill-and-stroke-styles/2d.fillStyle.CSSHSL.html",1,0,1,1278697
"/html/canvas/offscreen/path-objects/2d.path.stroke.prune.curve.html",1,0,0,1841322
"/html/canvas/offscreen/fill-and-stroke-styles/2d.fillStyle.parse.system.worker.html",1,0,1,1841320
"/html/canvas/offscreen/wide-gamut-canvas/2d.color.space.p3.to.p3.worker.html",1,0,0,1704237
"/html/canvas/offscreen/the-offscreen-canvas/2d-getcontext-options.any.worker.html",1,0,1,1841659
"/html/canvas/offscreen/fill-and-stroke-styles/2d.fillStyle.parse.system.html",1,0,1,1841320
"/html/canvas/offscreen/path-objects/2d.path.stroke.prune.arc.worker.html",1,0,0,1841322
"/webgl/idlharness.any.html",35,31,33,"1841288 1841289"
"/html/canvas/offscreen/text/2d.text.measure.advances.html",1,0,1,1841691
"/html/canvas/offscreen/the-offscreen-canvas/2d-getcontext-options.any.html",1,0,1,1841659
"/html/canvas/offscreen/text/2d.text.drawing.style.wordSpacing.change.font.html",1,0,1,1832955
"/html/canvas/offscreen/wide-gamut-canvas/2d.color.space.p3.to.p3.html",1,0,0,1704237
"/html/canvas/offscreen/text/2d.text.drawing.style.letterSpacing.change.font.worker.html",1,0,1,1832955
"/html/canvas/offscreen/manual/the-offscreen-canvas/offscreencanvas.transferrable.w.html",2,0,1,1645555
"/html/canvas/offscreen/text/2d.text.drawing.style.fontVariant.settings.html",1,1,1,""
"/html/canvas/offscreen/manual/the-offscreen-canvas/offscreencanvas.resize.html",1,0,0,1645555
"/html/canvas/offscreen/path-objects/2d.path.stroke.prune.curve.worker.html",1,0,0,1841322
"/html/canvas/offscreen/text/2d.text.measure.advances.worker.html",1,0,1,1841691
"/html/canvas/offscreen/text/2d.text.measure.emHeights.worker.html",1,0,1,1841692
