"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/webcodecs/full-cycle-test.https.any.html?vp8",2,0,0,""
"/webcodecs/videoFrame-createImageBitmap.https.any.worker.html",1,0,0,""
"/webcodecs/reconfiguring-encoder.https.any.html?h264_annexb",1,0,0,""
"/webcodecs/full-cycle-test.https.any.worker.html?vp9_p0",3,0,0,""
"/webcodecs/videoDecoder-codec-specific.https.any.html?h264_avc",2,0,0,""
"/webcodecs/reconfiguring-encoder.https.any.worker.html?h264_avc",1,0,0,""
"/webcodecs/videoFrame-createImageBitmap.https.any.html",1,0,0,""
"/webcodecs/videoDecoder-codec-specific.https.any.html?av1",2,0,0,""
"/webcodecs/full-cycle-test.https.any.html?av1",3,0,0,""
"/webcodecs/temporal-svc-encoding.https.any.worker.html?av1",2,0,0,""
"/webcodecs/temporal-svc-encoding.https.any.html?vp8",2,0,0,""
"/webcodecs/videoDecoder-codec-specific.https.any.html?vp8",2,0,0,""
"/webcodecs/full-cycle-test.https.any.html?vp9_p0",3,0,0,""
"/webcodecs/videoDecoder-codec-specific.https.any.html?vp9",2,0,0,""
"/webcodecs/full-cycle-test.https.any.worker.html?vp8",2,0,0,""
"/webcodecs/videoFrame-drawImage.any.worker.html",3,0,1,""
"/webcodecs/videoDecoder-codec-specific.https.any.worker.html?h264_avc",2,0,0,""
"/webcodecs/reconfiguring-encoder.https.any.html?av1",1,0,0,""
"/webcodecs/reconfiguring-encoder.https.any.html?vp9_p0",1,0,0,""
"/webcodecs/temporal-svc-encoding.https.any.html?vp9",2,0,0,""
"/webcodecs/full-cycle-test.https.any.html?h264_avc",3,0,1,""
"/webcodecs/videoDecoder-codec-specific.https.any.worker.html?vp9",2,0,0,""
"/webcodecs/videoFrame-drawImage.any.html",3,0,1,""
"/webcodecs/reconfiguring-encoder.https.any.worker.html?h264_annexb",1,0,0,""
"/webcodecs/video-decoder.https.any.html",10,0,8,""
"/webcodecs/full-cycle-test.https.any.worker.html?h264_avc",3,0,2,""
"/webcodecs/reconfiguring-encoder.https.any.worker.html?vp8",1,0,0,""
"/webcodecs/videoDecoder-codec-specific.https.any.worker.html?h264_annexb",2,0,0,""
"/webcodecs/video-encoder.https.any.worker.html",9,0,0,""
"/webcodecs/videoDecoder-codec-specific.https.any.html?h264_annexb",2,0,0,""
"/webcodecs/videoDecoder-codec-specific.https.any.worker.html?av1",2,0,0,""
"/webcodecs/temporal-svc-encoding.https.any.worker.html?vp9",2,0,0,""
"/webcodecs/video-encoder.https.any.html",9,0,0,""
"/webcodecs/videoDecoder-codec-specific.https.any.worker.html?vp8",2,0,0,""
"/webcodecs/full-cycle-test.https.any.html?h264_annexb",3,0,1,""
"/webcodecs/reconfiguring-encoder.https.any.worker.html?vp9_p0",1,0,0,""
"/webcodecs/full-cycle-test.https.any.worker.html?av1",3,0,0,""
"/webcodecs/video-encoder-config.https.any.worker.html",37,0,0,""
"/webcodecs/video-decoder.https.any.worker.html",10,0,8,""
"/webcodecs/temporal-svc-encoding.https.any.html?av1",2,0,0,""
"/webcodecs/reconfiguring-encoder.https.any.html?h264_avc",1,0,0,""
"/webcodecs/reconfiguring-encoder.https.any.html?vp8",1,0,0,""
"/webcodecs/videoFrame-canvasImageSource.html",2,0,0,""
"/webcodecs/video-encoder-config.https.any.html",37,0,0,""
"/webcodecs/reconfiguring-encoder.https.any.worker.html?av1",1,0,0,""
"/webcodecs/full-cycle-test.https.any.worker.html?h264_annexb",3,0,1,""
"/webcodecs/temporal-svc-encoding.https.any.worker.html?vp8",2,0,0,""
