"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/css/motion/offset-path-shape-polygon-001.html",1,0,1,1598156
"/css/motion/offset-path-shape-ellipse-003.html",1,0,1,1598156
"/css/motion/offset-path-url.html",1,0,0,1598158
"/css/motion/offset-path-coord-box-003.html",1,1,1,""
"/css/motion/offset-path-shape-ellipse-001.html",1,0,1,1598156
"/css/motion/offset-path-shape-circle-001.html",1,0,1,1598156
"/css/motion/parsing/offset-anchor-parsing-valid.html",1,1,0,""
"/css/motion/offset-path-geometry-box.html",1,0,1,1598156
"/css/motion/offset-path-shape-inset-001.html",1,0,1,1598156
"/css/motion/offset-path-shape-ellipse-002.html",1,0,1,1598156
"/css/motion/parsing/offset-position-parsing-valid.html",1,1,0,""
"/css/motion/offset-path-coord-box-001.html",1,0,1,""
"/css/motion/animation/offset-interpolation.html",6,0,6,1822203
"/css/motion/offset-path-shape-ellipse-004.html",1,0,1,1598156
"/css/motion/offset-path-shape-xywh-001.html",1,0,1,1598156
"/css/motion/offset-path-shape-circle-004.html",1,0,1,1598156
"/css/motion/animation/offset-path-interpolation-005.html",18,0,18,1822203
"/css/motion/offset-path-shape-polygon-002.html",1,0,1,1598156
"/css/motion/offset-path-shape-rect-001.html",1,0,1,1598156
"/css/motion/offset-path-coord-box-002.html",1,1,1,""
"/css/motion/offset-path-shape-circle-003.html",1,0,1,1598156
"/css/motion/offset-path-shape-inset-002.html",1,0,1,1598156
"/css/motion/offset-path-shape-xywh-002.html",1,0,1,1598156
"/css/motion/offset-path-shape-rect-002.html",1,0,1,1598156
"/css/motion/offset-path-shape-circle-002.html",1,0,1,1598156
"/css/motion/parsing/offset-path-parsing-valid.html",1,0,0,""
"/css/motion/offset-path-shape-polygon-003.html",1,0,1,1598156
