"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/wai-aria/role/menu-roles.html",6,6,6,1849160
"/wai-aria/role/grid-roles.html",7,6,6,"1656330 1849160"
"/wai-aria/role/tree-roles.html",2,2,0,""
"/wai-aria/role/form-roles.html",1,0,0,1778795
"/accname/name/comp_label.html",6,6,6,1878354
"/html-aam/names.html",16,0,0,1878350
"/accname/name/comp_name_from_content.html",13,6,9,1878355
"/accname/name/comp_embedded_control.html",13,2,13,1858048
"/svg-aam/name/comp_host_language_label.html",8,0,0,1865582
"/wai-aria/role/listbox-roles.html",1,1,1,""
"/wai-aria/role/fallback-roles.html",1,1,1,""
"/wai-aria/role/roles.html",5,0,2,"1732306 1829028"
"/css/css-display/accessibility/display-contents-role-and-label.html",14,9,12,1877811
"/accname/name/comp_tooltip.html",8,0,0,1878358
"/html/dom/aria-element-reflection.html",22,0,0,1875206
"/html/dom/aria-element-reflection-disconnected.html",2,0,2,1878351
"/svg-aam/role/roles-generic.html",1,1,0,1865582
"/accname/name/shadowdom/slot.html",2,0,0,1858046
"/html-aam/roles.html",6,2,5,"1732306 1821156 1829028 1858051 1858060"
"/html-aam/roles-contextual.html",5,1,0,"1749505 1858050"
"/accname/name/comp_text_node.html",5,5,5,1878356
"/html-aam/table-roles.html",3,3,3,""
"/wai-aria/role/contextual-roles.html",1,1,1,1878363
"/wai-aria/role/list-roles.html",1,1,1,""
"/html/dom/aria-attribute-reflection.html",2,0,2,1874329
"/wai-aria/idlharness.window.html",20,0,4,1859211
"/wai-aria/role/tab-roles.html",1,1,1,""
