"Test","Firefox Failures","Chrome Failures","Safari Failures","Bugs"
"/navigation-api/currententrychange-event/anchor-click.html",1,0,0,""
"/navigation-api/ordering-and-transition/anchor-download-intercept.html?no-currententrychange",1,0,0,""
"/navigation-api/scroll-behavior/manual-scroll-reload.html",1,0,1,""
"/navigation-api/ordering-and-transition/navigate-in-transition-finished.html?no-currententrychange",1,0,0,""
"/navigation-api/ordering-and-transition/reload-intercept.html?no-currententrychange",1,0,0,""
"/navigation-api/precommit-handler/precommitHandler-window-stop-before-commit.html",1,0,1,""
"/navigation-api/navigate-event/navigation-traverseTo-in-iframe-same-document-preventDefault.html",2,0,0,""
"/navigation-api/ordering-and-transition/navigate-intercept.html?currententrychange",1,0,0,""
"/navigation-api/navigation-history-entry/entries-after-bfcache-in-iframe.html",1,0,0,""
"/navigation-api/navigate-event/replaceState-inside-back-handler-infinite.optional.html",2,2,2,""
"/navigation-api/navigation-history-entry/entries-after-javascript-url-navigation.html",1,0,0,""
"/navigation-api/ordering-and-transition/reload-intercept-reject.html?currententrychange",1,0,0,""
"/navigation-api/navigation-history-entry/entries-after-srcdoc-navigation.html",1,0,0,""
"/navigation-api/navigation-history-entry/no-referrer-dynamic-url-censored.html",1,0,0,""
"/navigation-api/focus-reset/multiple-intercept.html",3,0,0,""
"/navigation-api/navigation-methods/traverseTo-navigates-multiple-iframes.html",1,0,0,""
"/navigation-api/ordering-and-transition/location-href-intercept.html?no-currententrychange",1,0,0,""
"/navigation-api/scroll-behavior/after-transition-reload-no-scroll-anchoring.html",1,0,0,""
"/navigation-api/scroll-behavior/manual-scroll-reload-no-scroll-anchoring.html",1,0,0,""
"/navigation-api/navigation-history-entry/entries-in-new-javascript-url-iframe.html",1,0,0,""
"/navigation-api/navigate-event/navigate-form-requestSubmit.html",2,0,0,""
"/navigation-api/ordering-and-transition/navigate-in-transition-finished.html?currententrychange",1,0,0,""
"/navigation-api/ordering-and-transition/reload-intercept.html?currententrychange",1,0,0,""
"/navigation-api/navigation-history-entry/entries-after-blank-navigation.html",1,0,0,""
"/navigation-api/ordering-and-transition/anchor-download-intercept-reject.html?currententrychange",1,0,0,""
"/navigation-api/navigate-event/intercept-popstate.html",1,0,0,""
"/navigation-api/ordering-and-transition/reload-no-popstate.html",1,0,0,""
"/navigation-api/ordering-and-transition/navigate-same-document.html?no-currententrychange",1,0,0,""
"/navigation-api/precommit-handler/precommitHandler-traversal-window-stop-before-commit.html",1,0,1,""
"/navigation-api/navigate-event/navigate-navigation-back-cross-document.html",1,0,0,""
"/navigation-api/ordering-and-transition/navigate-same-document-intercept-reject.html?currententrychange",1,0,0,""
"/navigation-api/ordering-and-transition/navigate-intercept.html?no-currententrychange",1,0,0,""
"/navigation-api/navigate-event/signal-abort-window-stop.html",1,0,0,""
"/navigation-api/ordering-and-transition/location-href-intercept.html?currententrychange",1,0,0,""
"/navigation-api/ordering-and-transition/navigate-204-205-download-then-same-document.html",3,0,0,""
"/navigation-api/focus-reset/autofocus.html",7,0,0,""
"/navigation-api/navigation-methods/traverseTo-detach-between-navigate-and-navigatesuccess.html",1,0,1,""
"/navigation-api/focus-reset/basic.html",4,0,0,""
"/navigation-api/precommit-handler/precommitHandler-traverse.html",2,0,0,""
"/navigation-api/per-entry-events/dispose-for-navigation-in-child.html",2,0,0,""
"/navigation-api/ordering-and-transition/navigate-same-document.html?currententrychange",1,0,0,""
"/navigation-api/navigation-activation/activation-initial-about-blank.html",1,0,0,""
"/navigation-api/precommit-handler/precommitHandler-redirect-throws.html",2,0,0,""
"/navigation-api/scroll-behavior/after-transition-reload.html",1,0,1,""
"/navigation-api/ordering-and-transition/anchor-download-intercept.html?currententrychange",1,0,0,""
"/navigation-api/navigate-event/navigate-to-srcdoc.html",1,0,0,""
"/navigation-api/ordering-and-transition/navigate-cross-document-double.html",1,0,0,""
"/navigation-api/ordering-and-transition/transition-to.html",1,0,1,""
"/navigation-api/ordering-and-transition/anchor-download-intercept-reject.html?no-currententrychange",1,0,0,""
"/navigation-api/navigation-history-entry/entry-after-detach.html",1,0,0,""
"/navigation-api/navigation-history-entry/entries-after-blob-navigation.html",1,0,0,""
"/navigation-api/ordering-and-transition/location-href-intercept-reject.html?currententrychange",1,0,0,""
"/navigation-api/ordering-and-transition/location-href-intercept-reject.html?no-currententrychange",1,0,0,""
"/navigation-api/ordering-and-transition/reload-intercept-reject.html?no-currententrychange",1,0,0,""
"/navigation-api/ordering-and-transition/currententrychange-before-popstate-intercept.html",1,0,0,""
"/navigation-api/ordering-and-transition/navigate-same-document-intercept-reject.html?no-currententrychange",1,0,0,""
